id,domain,failure,gt,pred,match,conf,is_fresh
L1-001,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-002,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-003,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-004,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-005,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-006,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-007,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-008,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-009,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-010,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-011,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-012,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-013,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-014,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-015,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-016,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-017,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-018,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-019,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-020,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-021,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-022,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-023,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-024,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-025,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-026,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-027,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-028,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-029,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-031,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-032,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-034,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-035,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-036,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-037,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-038,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-039,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-040,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-041,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-042,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-043,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-044,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-045,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-046,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-047,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-048,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-049,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-050,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-051,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-052,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-053,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-054,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-055,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-056,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-057,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-058,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-059,legal_services,hallucination_fabrication,deployer,deployer,False,high,False
L1-060,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-061,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-062,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-063,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-065,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-066,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-067,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-068,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-069,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-070,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-071,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-072,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-073,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-074,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-075,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-076,legal_services,hallucination_fabrication,human_operator,human_operator,False,medium,False
L1-077,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-078,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L1-079,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L2-002,hr_employment,bias_discrimination,deployer,deployer,False,high,False
L2-003,consumer_retail,bias_discrimination,ai_provider,ai_provider,False,medium,False
L2-005,criminal_justice,algorithmic_government_action,deployer,human_operator,False,medium,False
L2-008,consumer_retail,privacy_consent,ai_provider,ai_provider,False,high,False
L2-009,media,privacy_consent,ai_provider,ai_provider,False,high,False
L2-016,government,privacy_consent,ai_provider,ai_provider,False,high,False
L2-017,government,privacy_consent,ai_provider,ai_provider,False,high,False
L2-018,hr_employment,privacy_consent,deployer,deployer,False,high,False
L3-002,automotive,autonomy_handover,ai_provider,ai_provider,False,medium,False
L3-003,automotive,perception_sensor_failure,deployer,deployer,False,medium,False
L3-005,automotive,perception_sensor_failure,deployer,deployer,False,high,False
